connection_id,source_hospital_id,target_hospital_id,relationship_type,distance_km
C001,H001,H002,CONNECTED_TO,3.8
C002,H001,H003,CONNECTED_TO,4.5
C003,H001,H012,CONNECTED_TO,2.1
C004,H002,H013,CONNECTED_TO,2.4
C005,H003,H014,CONNECTED_TO,2.6
C006,H004,H015,CONNECTED_TO,2.2
C007,H005,H006,CONNECTED_TO,2.9
C008,H005,H016,CONNECTED_TO,3.1
C009,H005,H020,CONNECTED_TO,4.0
C010,H006,H016,CONNECTED_TO,1.8
C011,H006,H020,CONNECTED_TO,3.2
C012,H007,H020,CONNECTED_TO,5.1
C013,H008,H017,CONNECTED_TO,2.5
C014,H008,H020,CONNECTED_TO,7.2
C015,H009,H018,CONNECTED_TO,2.7
C016,H010,H019,CONNECTED_TO,2.3
C017,H012,H020,CONNECTED_TO,5.8
C018,H013,H014,CONNECTED_TO,3.9
C019,H015,H016,CONNECTED_TO,4.4
C020,H016,H020,CONNECTED_TO,2.8
