hospital_id,name,type,location_id,beds
H001,Metro Central Medical Center,Government,L001,500
H002,North District Specialty Hospital,Private,L002,250
H003,Riverdale General Hospital,Government,L003,300
H004,Bayview Healthcare Center,Private,L004,200
H005,South District Medical Center,Government,L005,450
H006,Oakridge Specialty Hospital,Private,L005,300
H007,Highland Community Hospital,Government,L006,150
H008,Pinecrest Medical Institute,Private,L007,350
H009,Clearwater General Hospital,Government,L008,200
H010,Silver Spring Healthcare Center,Private,L009,180
H011,Fairview Medical Center,Private,L010,120
H012,Apex Regional Hospital,Private,L001,400
H013,Northfield Community Hospital,Government,L002,220
H014,Riverdale Specialty Center,Private,L003,180
H015,Bayview General Hospital,Government,L004,280
H016,Oakridge General Hospital,Government,L005,350
H017,Pinecrest Community Hospital,Government,L007,200
H018,Clearwater Specialty Center,Private,L008,160
H019,Silver Spring General Hospital,Government,L009,250
H020,Apex Advanced Medical Center,Private,L005,400
